"[12.35633373260498, 18.902555465698242, 12.134221076965332, 12.481627464294434, 196.08767700195312, 158.24749755859375]","[7.413800239562988, 9.451277732849121, 8.08948040008545, 12.481627464294434, 44.913936614990234, 158.24749755859375]","[6.17816686630249, 10.501419067382812, 8.08948040008545, 12.481627464294434, 44.913936614990234, 158.24749755859375]","[7.413800239562988, 10.501419067382812, 8.08948040008545, 12.481627464294434, 44.913936614990234, 158.24749755859375]","[7.413800239562988, 10.501419067382812, 8.08948040008545, 12.481627464294434, 44.913936614990234, 158.24749755859375]","[6.088213920593262, 6.087435722351074, 5.968504905700684, 13.299356460571289, 15.333902359008789, 147.15386962890625]","[6.088213920593262, 10.145726203918457, 8.952756881713867, 19.94903564453125, 40.52531433105469, 237.1605987548828]","[6.088213920593262, 10.145726203918457, 8.952756881713867, 19.94903564453125, 40.52531433105469, 237.1605987548828]","[4.870571136474609, 10.145726203918457, 7.958006381988525, 18.840755462646484, 40.52531433105469, 237.1605987548828]","[4.870571136474609, 9.13115406036377, 7.958006381988525, 18.840755462646484, 39.43003463745117, 235.73191833496094]","[38.30463409423828, 56.707664489746094, 39.43621826171875, 40.848960876464844, 668.2317504882812, 546.5399780273438]","[17.29886817932129, 28.353832244873047, 24.268442153930664, 41.9836540222168, 154.46011352539062, 549.4705200195312]","[18.534500122070312, 28.353832244873047, 25.279626846313477, 41.9836540222168, 152.26919555664062, 543.6094970703125]","[17.29886817932129, 28.353832244873047, 25.279626846313477, 41.9836540222168, 152.26919555664062, 539.2137451171875]","[18.534500122070312, 29.403974533081055, 25.279626846313477, 41.9836540222168, 151.17373657226562, 536.283203125]","[9.741142272949219, 4.058290481567383, 15.91601276397705, 39.8980712890625, 13.14334487915039, 535.7543334960938]","[13.394070625305176, 27.393461227416992, 24.868770599365234, 62.063663482666016, 135.81455993652344, 818.6326293945312]","[14.611713409423828, 27.393461227416992, 24.868770599365234, 63.17194366455078, 134.7192840576172, 808.6318969726562]","[13.394070625305176, 26.378889083862305, 24.868770599365234, 62.063663482666016, 133.62400817871094, 802.9171752929688]","[13.394070625305176, 25.364315032958984, 23.874019622802734, 62.063663482666016, 132.5287322998047, 797.2024536132812]"
"[14.827600479125977, 19.952695846557617, 13.145405769348145, 13.616320610046387, 197.18313598632812, 177.29580688476562]","[8.649434089660645, 12.601703643798828, 9.100665092468262, 13.616320610046387, 47.1048583984375, 175.83056640625]","[8.649434089660645, 11.55156135559082, 9.100665092468262, 13.616320610046387, 46.0093994140625, 175.83056640625]","[7.413800239562988, 11.55156135559082, 9.100665092468262, 13.616320610046387, 47.1048583984375, 175.83056640625]","[7.413800239562988, 11.55156135559082, 9.100665092468262, 13.616320610046387, 46.0093994140625, 175.83056640625]","[6.088213920593262, 1.0145726203918457, 7.958006381988525, 18.840755462646484, 0.0, 242.87530517578125]","[6.088213920593262, 10.145726203918457, 7.958006381988525, 19.94903564453125, 42.71586990356445, 247.16134643554688]","[6.088213920593262, 9.13115406036377, 7.958006381988525, 19.94903564453125, 42.71586990356445, 247.16134643554688]","[6.088213920593262, 10.145726203918457, 7.958006381988525, 19.94903564453125, 42.71586990356445, 247.16134643554688]","[6.088213920593262, 9.13115406036377, 7.958006381988525, 19.94903564453125, 42.71586990356445, 247.16134643554688]","[48.189701080322266, 64.05865478515625, 44.49214172363281, 44.2530403137207, 674.8045043945312, 565.5883178710938]","[24.71266746520996, 35.70482635498047, 28.313180923461914, 44.2530403137207, 161.03289794921875, 568.518798828125]","[23.477033615112305, 33.60454177856445, 28.313180923461914, 44.2530403137207, 157.7465057373047, 562.6577758789062]","[25.948301315307617, 34.65468215942383, 28.313180923461914, 45.38773727416992, 156.6510467529297, 558.2620239257812]","[28.419567108154297, 36.754966735839844, 29.324365615844727, 45.38773727416992, 158.8419647216797, 555.33154296875]","[10.958785057067871, 5.0728631019592285, 16.910762786865234, 42.114627838134766, 16.429182052612305, 561.4705810546875]","[15.82935619354248, 28.40803337097168, 25.863521575927734, 64.28022003173828, 139.10040283203125, 828.6334228515625]","[17.046998977661133, 28.40803337097168, 25.863521575927734, 65.38850402832031, 136.9098358154297, 820.0613403320312]","[18.2646427154541, 29.422605514526367, 27.8530216217041, 66.49678039550781, 138.005126953125, 815.7752685546875]","[18.2646427154541, 30.437179565429688, 27.8530216217041, 66.49678039550781, 136.9098358154297, 810.0606079101562]"
"[24.71266746520996, 27.30368995666504, 17.19014549255371, 17.020401000976562, 204.8513641357422, 196.34413146972656]","[18.534500122070312, 18.902555465698242, 13.145405769348145, 17.020401000976562, 53.67763137817383, 196.34413146972656]","[18.534500122070312, 18.902555465698242, 13.145405769348145, 17.020401000976562, 53.67763137817383, 196.34413146972656]","[18.534500122070312, 18.902555465698242, 13.145405769348145, 17.020401000976562, 53.67763137817383, 196.34413146972656]","[17.29886817932129, 18.902555465698242, 13.145405769348145, 17.020401000976562, 53.67763137817383, 196.34413146972656]","[10.958785057067871, 5.0728631019592285, 10.942258834838867, 23.273874282836914, 6.571672439575195, 261.4481201171875]","[10.958785057067871, 14.20401668548584, 11.937009811401367, 23.273874282836914, 48.192264556884766, 261.4481201171875]","[10.958785057067871, 14.20401668548584, 10.942258834838867, 23.273874282836914, 48.192264556884766, 261.4481201171875]","[10.958785057067871, 14.20401668548584, 11.937009811401367, 23.273874282836914, 48.192264556884766, 261.4481201171875]","[10.958785057067871, 13.189444541931152, 11.937009811401367, 23.273874282836914, 48.192264556884766, 261.4481201171875]","[51.896602630615234, 65.10880279541016, 46.51451110839844, 45.38773727416992, 675.8999633789062, 587.567138671875]","[29.655200958251953, 37.805110931396484, 30.335552215576172, 46.522430419921875, 163.22381591796875, 586.1018676757812]","[28.419567108154297, 37.805110931396484, 30.335552215576172, 46.522430419921875, 162.12835693359375, 580.2408447265625]","[28.419567108154297, 37.805110931396484, 30.335552215576172, 46.522430419921875, 161.03289794921875, 575.8450927734375]","[28.419567108154297, 37.805110931396484, 30.335552215576172, 46.522430419921875, 161.03289794921875, 572.91455078125]","[15.82935619354248, 9.13115406036377, 19.895015716552734, 46.54774856567383, 21.905574798583984, 587.186767578125]","[20.699928283691406, 31.451751708984375, 27.8530216217041, 66.49678039550781, 143.4815216064453, 840.0628051757812]","[20.699928283691406, 30.437179565429688, 27.8530216217041, 67.60506439208984, 142.38623046875, 832.91943359375]","[19.482284545898438, 31.451751708984375, 27.8530216217041, 67.60506439208984, 141.29095458984375, 825.7760620117188]","[20.699928283691406, 31.451751708984375, 27.8530216217041, 66.49678039550781, 140.1956787109375, 821.489990234375]"
"[25.948301315307617, 28.353832244873047, 18.201330184936523, 17.020401000976562, 207.0422821044922, 213.92718505859375]","[19.77013397216797, 19.952695846557617, 14.156590461730957, 18.155094146728516, 55.868553161621094, 213.92718505859375]","[19.77013397216797, 19.952695846557617, 14.156590461730957, 18.155094146728516, 55.868553161621094, 213.92718505859375]","[19.77013397216797, 19.952695846557617, 14.156590461730957, 18.155094146728516, 55.868553161621094, 212.46192932128906]","[19.77013397216797, 19.952695846557617, 14.156590461730957, 18.155094146728516, 55.868553161621094, 212.46192932128906]","[12.176427841186523, 6.087435722351074, 11.937009811401367, 23.273874282836914, 8.762229919433594, 270.02020263671875]","[12.176427841186523, 14.20401668548584, 11.937009811401367, 23.273874282836914, 51.47809982299805, 272.8775634765625]","[12.176427841186523, 14.20401668548584, 11.937009811401367, 24.38215446472168, 50.3828239440918, 272.8775634765625]","[12.176427841186523, 14.20401668548584, 11.937009811401367, 24.38215446472168, 50.3828239440918, 272.8775634765625]","[12.176427841186523, 14.20401668548584, 11.937009811401367, 24.38215446472168, 51.47809982299805, 272.8775634765625]","[51.896602630615234, 66.15894317626953, 46.51451110839844, 45.38773727416992, 676.9954223632812, 597.8239135742188]","[29.655200958251953, 37.805110931396484, 30.335552215576172, 46.522430419921875, 165.41473388671875, 602.2196655273438]","[29.655200958251953, 37.805110931396484, 30.335552215576172, 46.522430419921875, 163.22381591796875, 596.358642578125]","[29.655200958251953, 37.805110931396484, 30.335552215576172, 46.522430419921875, 162.12835693359375, 591.962890625]","[29.655200958251953, 37.805110931396484, 30.335552215576172, 46.522430419921875, 162.12835693359375, 589.0323486328125]","[18.2646427154541, 10.145726203918457, 20.889766693115234, 48.76430892944336, 25.1914119720459, 605.7595825195312]","[21.917570114135742, 33.48089599609375, 28.8477725982666, 67.60506439208984, 146.76734924316406, 851.4922485351562]","[21.917570114135742, 32.46632385253906, 28.8477725982666, 67.60506439208984, 145.6720733642578, 842.920166015625]","[21.917570114135742, 31.451751708984375, 28.8477725982666, 67.60506439208984, 144.57679748535156, 835.7767944335938]","[21.917570114135742, 31.451751708984375, 28.8477725982666, 67.60506439208984, 143.4815216064453, 831.4907836914062]"
"[24.71266746520996, 28.353832244873047, 18.201330184936523, 18.155094146728516, 208.13775634765625, 228.57972717285156]","[18.534500122070312, 19.952695846557617, 14.156590461730957, 18.155094146728516, 56.96401596069336, 228.57972717285156]","[18.534500122070312, 19.952695846557617, 14.156590461730957, 18.155094146728516, 56.96401596069336, 228.57972717285156]","[18.534500122070312, 21.002838134765625, 14.156590461730957, 18.155094146728516, 58.059478759765625, 228.57972717285156]","[18.534500122070312, 19.952695846557617, 14.156590461730957, 18.155094146728516, 58.059478759765625, 227.11447143554688]","[14.611713409423828, 8.116580963134766, 12.931760787963867, 24.38215446472168, 18.619739532470703, 282.8782958984375]","[14.611713409423828, 15.218589782714844, 12.931760787963867, 24.38215446472168, 54.763938903808594, 282.8782958984375]","[13.394070625305176, 15.218589782714844, 11.937009811401367, 24.38215446472168, 54.763938903808594, 281.4496154785156]","[14.611713409423828, 15.218589782714844, 12.931760787963867, 24.38215446472168, 53.66865921020508, 282.8782958984375]","[13.394070625305176, 15.218589782714844, 12.931760787963867, 24.38215446472168, 54.763938903808594, 281.4496154785156]","[53.13223648071289, 67.2090835571289, 47.52569580078125, 46.522430419921875, 679.1863403320312, 612.4764404296875]","[30.89083480834961, 38.85525131225586, 31.346736907958984, 47.65712356567383, 167.6056671142578, 616.8721923828125]","[30.89083480834961, 39.905391693115234, 31.346736907958984, 47.65712356567383, 165.41473388671875, 611.0111694335938]","[30.89083480834961, 38.85525131225586, 31.346736907958984, 47.65712356567383, 165.41473388671875, 606.6154174804688]","[29.655200958251953, 38.85525131225586, 31.346736907958984, 47.65712356567383, 164.31927490234375, 603.6849365234375]","[19.482284545898438, 10.145726203918457, 21.884517669677734, 48.76430892944336, 28.47724723815918, 620.04638671875]","[23.13521385192871, 33.48089599609375, 29.8425235748291, 68.71334075927734, 150.05319213867188, 861.4929809570312]","[23.13521385192871, 33.48089599609375, 29.8425235748291, 68.71334075927734, 148.95791625976562, 852.9209594726562]","[23.13521385192871, 31.451751708984375, 29.8425235748291, 68.71334075927734, 147.8626251220703, 845.7775268554688]","[23.13521385192871, 32.46632385253906, 29.8425235748291, 68.71334075927734, 147.8626251220703, 841.4915161132812]"
